favouritesCount,followers,location,mediaCount,name,createdAt,lang,likeCount,quoteCount,replyCount,retweetCount,retweettext,retweet/type,retweet/viewCount,retweetCount,text,viewCount
22181,10835906,"Seattle, WA",4141,Starbucks,Fri Jul 21 17:59:39 +0000 2023,,,,,,,,,1443,Our entire personality today. 💗💖💕 https://t.co/l0b4Vm2LCF,520598
22181,10835906,"Seattle, WA",4141,Starbucks,Tue Jul 11 18:20:16 +0000 2023,en,15803,308,31,3565,bf who pays for the starbucks 🫱🏻‍🫲🏼 gf who just scans for her points,tweet,1145599,3565,RT @nanisxo: bf who pays for the starbucks 🫱🏻‍🫲🏼 gf who just scans for her points,1145599
22181,10835906,"Seattle, WA",4141,Starbucks,Thu Jun 29 18:19:33 +0000 2023,en,262,2,15,29,Now why would Starbucks drop these frozen lemonades……. Now ima have to be there everyday. 😂,tweet,163520,29,RT @_ashleyexo: Now why would Starbucks drop these frozen lemonades……. Now ima have to be there everyday. 😂,163520
22181,10835906,"Seattle, WA",4141,Starbucks,Tue Jun 27 13:59:52 +0000 2023,,,,,,,,,290,"Color us content.

💛 NEW Frozen Pineapple Passionfruit Lemonade
💜 NEW Frozen Mango Dragonfruit Lemonade
❤️​ NEW Frozen Strawberry Açaí Lemonade

Starbucks Refreshers® Beverages. (US &amp; Canada) https://t.co/cEx6W2Uqmt",665329
22181,10835906,"Seattle, WA",4141,Starbucks,Thu Jun 22 19:34:31 +0000 2023,en,218,7,14,38,triple star day at Starbucks 💫 Treat yourself,tweet,161891,38,RT @phenomenal_Blaq: triple star day at Starbucks 💫 Treat yourself,161891
22181,10835906,"Seattle, WA",4141,Starbucks,Sun Jun 18 15:00:00 +0000 2023,,,,,,,,,65,We love our Starbucks dads. 💚 https://t.co/wcmRxkyhVT,236875
22181,10835906,"Seattle, WA",4141,Starbucks,Tue Jun 13 15:14:03 +0000 2023,,,,,,,,,130,10 years strong 💜👌,421674
22181,10835906,"Seattle, WA",4141,Starbucks,Fri Jun 09 16:28:33 +0000 2023,en,1669,30,46,562,"i got starbucks yesterday, i got starbucks today and will most definitely get starbucks tomorrow🤭",tweet,266993,562,"RT @18elyyy: i got starbucks yesterday, i got starbucks today and will most definitely get starbucks tomorrow🤭",266993
22181,10835906,"Seattle, WA",4141,Starbucks,Thu Jun 08 21:09:25 +0000 2023,en,6731,123,35,2006,I think my car needs an alignment it always pulls towards Starbucks 😫,tweet,713801,2006,RT @garzaaa8_: I think my car needs an alignment it always pulls towards Starbucks 😫,713801
22181,10835906,"Seattle, WA",4141,Starbucks,Thu Jun 08 19:11:40 +0000 2023,en,4250,69,23,1759,me &amp; my Starbucks drink against the world 🫂,tweet,435348,1759,RT @theyluvvval: me &amp; my Starbucks drink against the world 🫂,435348
22181,10835906,"Seattle, WA",4141,Starbucks,Fri Jun 23 16:30:55 +0000 2023,,,,,,,,,17290,"@JYPETWICE We'll say it Once, but maybe even Twice. We're so happy that our special Starbucks gift box made its way to your show last Friday evening, at the Tacoma Dome!

See you all again, soon. Feel better Jeongyeon and Dahyun! 💚 https://t.co/qZrnxshzyw",3209850
